Country,Year,Value,Indicator
Papua New Guinea,1995,100.75,Per capita GAP
Samoa,1995,85.73,Per capita GAP
Solomon Islands,1995,140.63,Per capita GAP
Tokelau,1995,66.4,Per capita GAP
Tonga,1995,107.05,Per capita GAP
Tuvalu,1995,88.82,Per capita GAP
Vanuatu,1995,142.17,Per capita GAP
Cook Islands,1996,189.29,Per capita GAP
Fiji,1996,157.98,Per capita GAP
French Polynesia,1996,105.96,Per capita GAP
Kiribati,1996,86.21,Per capita GAP
Marshall Islands,1996,168.28,Per capita GAP
Micronesia (Federated States of),1996,92.71,Per capita GAP
Nauru,1996,81.8,Per capita GAP
New Caledonia,1996,119.97,Per capita GAP
Niue,1996,75.59,Per capita GAP
Papua New Guinea,1996,102.58,Per capita GAP
Samoa,1996,90.32,Per capita GAP
Solomon Islands,1996,139.9,Per capita GAP
Tokelau,1996,66.96,Per capita GAP
Tonga,1996,107.88,Per capita GAP
Tuvalu,1996,90.52,Per capita GAP
Vanuatu,1996,141.27,Per capita GAP
Cook Islands,1997,234.24,Per capita GAP
Fiji,1997,149.8,Per capita GAP
French Polynesia,1997,104.34,Per capita GAP
Kiribati,1997,85.08,Per capita GAP
Marshall Islands,1997,156.69,Per capita GAP
Micronesia (Federated States of),1997,92.65,Per capita GAP
Nauru,1997,83.15,Per capita GAP
New Caledonia,1997,111.2,Per capita GAP
Niue,1997,79.27,Per capita GAP
Papua New Guinea,1997,101.43,Per capita GAP
Samoa,1997,92.19,Per capita GAP
Solomon Islands,1997,142.1,Per capita GAP
Tokelau,1997,67.2,Per capita GAP
Tonga,1997,104.67,Per capita GAP
Tuvalu,1997,93.97,Per capita GAP
Vanuatu,1997,161.28,Per capita GAP
Cook Islands,1998,262.38,Per capita GAP
Fiji,1998,120.26,Per capita GAP
French Polynesia,1998,86.63,Per capita GAP
Kiribati,1998,87.62,Per capita GAP
Marshall Islands,1998,111.79,Per capita GAP
Micronesia (Federated States of),1998,92.91,Per capita GAP
Nauru,1998,84.97,Per capita GAP
New Caledonia,1998,110.39,Per capita GAP
Niue,1998,83.15,Per capita GAP
Papua New Guinea,1998,102.25,Per capita GAP
Samoa,1998,94.94,Per capita GAP
Solomon Islands,1998,141.3,Per capita GAP
Tokelau,1998,66.96,Per capita GAP
Tonga,1998,100.31,Per capita GAP
Tuvalu,1998,97.24,Per capita GAP
Vanuatu,1998,162.95,Per capita GAP
Cook Islands,1999,214.39,Per capita GAP
Fiji,1999,148.87,Per capita GAP
French Polynesia,1999,93.43,Per capita GAP
Kiribati,1999,86.38,Per capita GAP
Marshall Islands,1999,87.89,Per capita GAP
Micronesia (Federated States of),1999,93.41,Per capita GAP
Nauru,1999,87.1,Per capita GAP
New Caledonia,1999,109.52,Per capita GAP
Niue,1999,86.11,Per capita GAP
Papua New Guinea,1999,103.66,Per capita GAP
Samoa,1999,91.52,Per capita GAP
Solomon Islands,1999,129.51,Per capita GAP
Tokelau,1999,67.9,Per capita GAP
Tonga,1999,99.41,Per capita GAP
Tuvalu,1999,95.0,Per capita GAP
Vanuatu,1999,135.52,Per capita GAP
Cook Islands,2000,201.28,Per capita GAP
Fiji,2000,147.61,Per capita GAP
French Polynesia,2000,99.31,Per capita GAP
Kiribati,2000,79.96,Per capita GAP
Marshall Islands,2000,21.9,Per capita GAP
Micronesia (Federated States of),2000,93.78,Per capita GAP
Nauru,2000,88.58,Per capita GAP
New Caledonia,2000,107.3,Per capita GAP
Niue,2000,84.41,Per capita GAP
Papua New Guinea,2000,104.08,Per capita GAP
Samoa,2000,93.93,Per capita GAP
Solomon Islands,2000,127.04,Per capita GAP
Tokelau,2000,69.68,Per capita GAP
Tonga,2000,102.41,Per capita GAP
Tuvalu,2000,101.07,Per capita GAP
Vanuatu,2000,126.49,Per capita GAP
Cook Islands,2001,182.86,Per capita GAP
Fiji,2001,134.68,Per capita GAP
French Polynesia,2001,97.04,Per capita GAP
Kiribati,2001,79.63,Per capita GAP
Marshall Islands,2001,19.01,Per capita GAP
Micronesia (Federated States of),2001,94.01,Per capita GAP
Nauru,2001,90.67,Per capita GAP
New Caledonia,2001,107.24,Per capita GAP
Niue,2001,86.92,Per capita GAP
Papua New Guinea,2001,99.84,Per capita GAP
Samoa,2001,96.83,Per capita GAP
Solomon Islands,2001,118.79,Per capita GAP
Tokelau,2001,72.59,Per capita GAP
Tonga,2001,101.9,Per capita GAP
Tuvalu,2001,98.23,Per capita GAP
Vanuatu,2001,124.24,Per capita GAP
Cook Islands,2002,166.21,Per capita GAP
Fiji,2002,141.15,Per capita GAP
French Polynesia,2002,102.09,Per capita GAP
Kiribati,2002,79.84,Per capita GAP
Marshall Islands,2002,65.14,Per capita GAP
Micronesia (Federated States of),2002,94.15,Per capita GAP
Nauru,2002,92.81,Per capita GAP
New Caledonia,2002,105.79,Per capita GAP
Niue,2002,90.92,Per capita GAP
Papua New Guinea,2002,100.92,Per capita GAP
Samoa,2002,97.85,Per capita GAP
Solomon Islands,2002,118.17,Per capita GAP
Tokelau,2002,76.09,Per capita GAP
Tonga,2002,104.82,Per capita GAP
Tuvalu,2002,101.85,Per capita GAP
Vanuatu,2002,110.2,Per capita GAP
Cook Islands,2003,127.15,Per capita GAP
Fiji,2003,127.92,Per capita GAP
French Polynesia,2003,100.32,Per capita GAP
Kiribati,2003,78.91,Per capita GAP
Marshall Islands,2003,147.7,Per capita GAP
Micronesia (Federated States of),2003,94.29,Per capita GAP
Nauru,2003,94.93,Per capita GAP
New Caledonia,2003,103.86,Per capita GAP
Niue,2003,94.78,Per capita GAP
Papua New Guinea,2003,101.15,Per capita GAP
Samoa,2003,98.54,Per capita GAP
Solomon Islands,2003,118.89,Per capita GAP
Tokelau,2003,79.74,Per capita GAP
Tonga,2003,102.26,Per capita GAP
Tuvalu,2003,102.86,Per capita GAP
Vanuatu,2003,112.87,Per capita GAP
Cook Islands,2004,103.91,Per capita GAP
Fiji,2004,142.48,Per capita GAP
French Polynesia,2004,99.93,Per capita GAP
Kiribati,2004,95.47,Per capita GAP
Marshall Islands,2004,89.7,Per capita GAP
Micronesia (Federated States of),2004,91.95,Per capita GAP
Nauru,2004,96.97,Per capita GAP
New Caledonia,2004,107.59,Per capita GAP
Niue,2004,96.64,Per capita GAP
Papua New Guinea,2004,100.26,Per capita GAP
Samoa,2004,97.89,Per capita GAP
Solomon Islands,2004,130.77,Per capita GAP
Tokelau,2004,86.78,Per capita GAP
Tonga,2004,101.28,Per capita GAP
Tuvalu,2004,100.35,Per capita GAP
Vanuatu,2004,112.39,Per capita GAP
Cook Islands,2005,106.1,Per capita GAP
Fiji,2005,145.04,Per capita GAP
French Polynesia,2005,106.97,Per capita GAP
Kiribati,2005,94.44,Per capita GAP
Marshall Islands,2005,101.87,Per capita GAP
Micronesia (Federated States of),2005,89.13,Per capita GAP
Nauru,2005,98.61,Per capita GAP
New Caledonia,2005,100.23,Per capita GAP
Niue,2005,97.97,Per capita GAP
Papua New Guinea,2005,101.45,Per capita GAP
Samoa,2005,99.1,Per capita GAP
Solomon Islands,2005,143.16,Per capita GAP
Tokelau,2005,92.69,Per capita GAP
Tonga,2005,100.65,Per capita GAP
Tuvalu,2005,100.54,Per capita GAP
Vanuatu,2005,111.73,Per capita GAP
Cook Islands,2006,109.97,Per capita GAP
Fiji,2006,151.8,Per capita GAP
French Polynesia,2006,103.92,Per capita GAP
Kiribati,2006,108.17,Per capita GAP
Marshall Islands,2006,124.57,Per capita GAP
Micronesia (Federated States of),2006,86.01,Per capita GAP
Nauru,2006,99.95,Per capita GAP
New Caledonia,2006,94.38,Per capita GAP
Niue,2006,99.52,Per capita GAP
Papua New Guinea,2006,101.15,Per capita GAP
Samoa,2006,97.46,Per capita GAP
Solomon Islands,2006,142.82,Per capita GAP
Tokelau,2006,97.48,Per capita GAP
Tonga,2006,109.07,Per capita GAP
Tuvalu,2006,100.08,Per capita GAP
Vanuatu,2006,109.82,Per capita GAP
Cook Islands,2007,107.81,Per capita GAP
Fiji,2007,135.29,Per capita GAP
French Polynesia,2007,105.54,Per capita GAP
Kiribati,2007,109.98,Per capita GAP
Marshall Islands,2007,103.59,Per capita GAP
Micronesia (Federated States of),2007,89.17,Per capita GAP
Nauru,2007,101.6,Per capita GAP
New Caledonia,2007,93.73,Per capita GAP
Niue,2007,102.66,Per capita GAP
Papua New Guinea,2007,105.31,Per capita GAP
Samoa,2007,95.12,Per capita GAP
Solomon Islands,2007,149.19,Per capita GAP
Tokelau,2007,101.16,Per capita GAP
Tonga,2007,143.57,Per capita GAP
Tuvalu,2007,102.38,Per capita GAP
Vanuatu,2007,109.86,Per capita GAP
Cook Islands,2008,108.7,Per capita GAP
Fiji,2008,131.99,Per capita GAP
French Polynesia,2008,103.08,Per capita GAP
Kiribati,2008,108.06,Per capita GAP
Marshall Islands,2008,133.73,Per capita GAP
Micronesia (Federated States of),2008,86.09,Per capita GAP
Nauru,2008,102.64,Per capita GAP
New Caledonia,2008,93.61,Per capita GAP
Niue,2008,99.76,Per capita GAP
Papua New Guinea,2008,104.8,Per capita GAP
Samoa,2008,96.43,Per capita GAP
Solomon Islands,2008,151.71,Per capita GAP
Tokelau,2008,104.04,Per capita GAP
Tonga,2008,138.55,Per capita GAP
Tuvalu,2008,101.37,Per capita GAP
Vanuatu,2008,109.96,Per capita GAP
Cook Islands,2009,103.2,Per capita GAP
Fiji,2009,113.13,Per capita GAP
French Polynesia,2009,98.34,Per capita GAP
Kiribati,2009,105.9,Per capita GAP
Marshall Islands,2009,121.97,Per capita GAP
Micronesia (Federated States of),2009,88.37,Per capita GAP
Nauru,2009,103.19,Per capita GAP
New Caledonia,2009,89.18,Per capita GAP
Niue,2009,98.67,Per capita GAP
Papua New Guinea,2009,103.82,Per capita GAP
Samoa,2009,100.54,Per capita GAP
Solomon Islands,2009,143.96,Per capita GAP
Tokelau,2009,105.66,Per capita GAP
Tonga,2009,137.47,Per capita GAP
Tuvalu,2009,102.04,Per capita GAP
Vanuatu,2009,104.46,Per capita GAP
Cook Islands,2010,102.11,Per capita GAP
Fiji,2010,90.28,Per capita GAP
French Polynesia,2010,99.83,Per capita GAP
Kiribati,2010,104.55,Per capita GAP
Marshall Islands,2010,115.59,Per capita GAP
Micronesia (Federated States of),2010,87.56,Per capita GAP
Nauru,2010,103.42,Per capita GAP
New Caledonia,2010,92.34,Per capita GAP
Niue,2010,98.69,Per capita GAP
Papua New Guinea,2010,99.78,Per capita GAP
Samoa,2010,101.45,Per capita GAP
Solomon Islands,2010,104.86,Per capita GAP
Tokelau,2010,106.29,Per capita GAP
Tonga,2010,136.24,Per capita GAP
Tuvalu,2010,99.57,Per capita GAP
Vanuatu,2010,130.8,Per capita GAP
Cook Islands,2011,100.62,Per capita GAP
Fiji,2011,107.87,Per capita GAP
French Polynesia,2011,100.33,Per capita GAP
Kiribati,2011,102.97,Per capita GAP
Marshall Islands,2011,100.0,Per capita GAP
Micronesia (Federated States of),2011,88.19,Per capita GAP
Nauru,2011,99.2,Per capita GAP
New Caledonia,2011,91.03,Per capita GAP
Niue,2011,98.22,Per capita GAP
Papua New Guinea,2011,103.09,Per capita GAP
Samoa,2011,103.57,Per capita GAP
Solomon Islands,2011,104.02,Per capita GAP
Tokelau,2011,106.74,Per capita GAP
Tonga,2011,136.28,Per capita GAP
Tuvalu,2011,99.6,Per capita GAP
Vanuatu,2011,121.09,Per capita GAP
Cook Islands,2012,99.76,Per capita GAP
Fiji,2012,88.87,Per capita GAP
French Polynesia,2012,100.95,Per capita GAP
Kiribati,2012,102.93,Per capita GAP
Marshall Islands,2012,111.5,Per capita GAP
Micronesia (Federated States of),2012,84.93,Per capita GAP
Nauru,2012,104.09,Per capita GAP
New Caledonia,2012,95.44,Per capita GAP
Niue,2012,98.93,Per capita GAP
Papua New Guinea,2012,99.8,Per capita GAP
Samoa,2012,102.92,Per capita GAP
Solomon Islands,2012,103.09,Per capita GAP
Tokelau,2012,107.39,Per capita GAP
Tonga,2012,134.66,Per capita GAP
Tuvalu,2012,100.85,Per capita GAP
Vanuatu,2012,119.88,Per capita GAP
Cook Islands,2013,102.86,Per capita GAP
Fiji,2013,100.38,Per capita GAP
French Polynesia,2013,95.08,Per capita GAP
Kiribati,2013,102.66,Per capita GAP
Marshall Islands,2013,117.8,Per capita GAP
Micronesia (Federated States of),2013,90.49,Per capita GAP
Nauru,2013,105.53,Per capita GAP
New Caledonia,2013,89.63,Per capita GAP
Niue,2013,100.91,Per capita GAP
Papua New Guinea,2013,100.31,Per capita GAP
Samoa,2013,102.63,Per capita GAP
Solomon Islands,2013,102.28,Per capita GAP
Tokelau,2013,105.58,Per capita GAP
Tonga,2013,136.87,Per capita GAP
Tuvalu,2013,102.04,Per capita GAP
Vanuatu,2013,123.21,Per capita GAP
Cook Islands,2014,101.55,Per capita GAP
Fiji,2014,107.85,Per capita GAP
French Polynesia,2014,96.39,Per capita GAP
Kiribati,2014,101.01,Per capita GAP
Marshall Islands,2014,83.79,Per capita GAP
Micronesia (Federated States of),2014,100.59,Per capita GAP
Nauru,2014,100.27,Per capita GAP
New Caledonia,2014,93.12,Per capita GAP
Niue,2014,102.34,Per capita GAP
Papua New Guinea,2014,101.16,Per capita GAP
Samoa,2014,101.39,Per capita GAP
Solomon Islands,2014,101.7,Per capita GAP
Tokelau,2014,103.21,Per capita GAP
Tonga,2014,103.09,Per capita GAP
Tuvalu,2014,99.96,Per capita GAP
Vanuatu,2014,107.57,Per capita GAP
Cook Islands,2015,99.85,Per capita GAP
Fiji,2015,109.4,Per capita GAP
French Polynesia,2015,101.71,Per capita GAP
Kiribati,2015,100.34,Per capita GAP
Marshall Islands,2015,90.08,Per capita GAP
Micronesia (Federated States of),2015,99.75,Per capita GAP
Nauru,2015,99.93,Per capita GAP
New Caledonia,2015,110.24,Per capita GAP
Niue,2015,97.13,Per capita GAP
Papua New Guinea,2015,100.02,Per capita GAP
Samoa,2015,101.73,Per capita GAP
Solomon Islands,2015,100.41,Per capita GAP
Tokelau,2015,101.1,Per capita GAP
Tonga,2015,101.32,Per capita GAP
Tuvalu,2015,100.24,Per capita GAP
Vanuatu,2015,97.56,Per capita GAP
Cook Islands,2016,98.6,Per capita GAP
Fiji,2016,82.75,Per capita GAP
French Polynesia,2016,101.9,Per capita GAP
Kiribati,2016,98.66,Per capita GAP
Marshall Islands,2016,126.13,Per capita GAP
Micronesia (Federated States of),2016,99.66,Per capita GAP
Nauru,2016,99.8,Per capita GAP
New Caledonia,2016,96.64,Per capita GAP
Niue,2016,100.53,Per capita GAP
Papua New Guinea,2016,98.82,Per capita GAP
Samoa,2016,96.88,Per capita GAP
Solomon Islands,2016,97.89,Per capita GAP
Tokelau,2016,95.69,Per capita GAP
Tonga,2016,95.59,Per capita GAP
Tuvalu,2016,99.8,Per capita GAP
Vanuatu,2016,94.87,Per capita GAP
Cook Islands,2017,97.29,Per capita GAP
Fiji,2017,111.65,Per capita GAP
French Polynesia,2017,100.27,Per capita GAP
Kiribati,2017,97.74,Per capita GAP
Marshall Islands,2017,125.43,Per capita GAP
Micronesia (Federated States of),2017,99.2,Per capita GAP
Nauru,2017,97.89,Per capita GAP
New Caledonia,2017,94.47,Per capita GAP
Niue,2017,99.65,Per capita GAP
Papua New Guinea,2017,96.87,Per capita GAP
Samoa,2017,94.98,Per capita GAP
Solomon Islands,2017,97.59,Per capita GAP
Tokelau,2017,90.74,Per capita GAP
Tonga,2017,94.86,Per capita GAP
Tuvalu,2017,98.67,Per capita GAP
Vanuatu,2017,91.69,Per capita GAP
Cook Islands,2018,93.14,Per capita GAP
Fiji,2018,115.84,Per capita GAP
French Polynesia,2018,102.26,Per capita GAP
Kiribati,2018,87.6,Per capita GAP
Marshall Islands,2018,78.74,Per capita GAP
Micronesia (Federated States of),2018,98.06,Per capita GAP
Nauru,2018,97.29,Per capita GAP
New Caledonia,2018,93.84,Per capita GAP
Niue,2018,98.29,Per capita GAP
Papua New Guinea,2018,95.48,Per capita GAP
Samoa,2018,96.16,Per capita GAP
Solomon Islands,2018,95.56,Per capita GAP
Tokelau,2018,89.55,Per capita GAP
Tonga,2018,92.21,Per capita GAP
Tuvalu,2018,97.8,Per capita GAP
Vanuatu,2018,88.33,Per capita GAP
Cook Islands,2019,87.98,Per capita GAP
Fiji,2019,117.38,Per capita GAP
French Polynesia,2019,100.6,Per capita GAP
Kiribati,2019,88.01,Per capita GAP
Marshall Islands,2019,79.13,Per capita GAP
Micronesia (Federated States of),2019,97.33,Per capita GAP
Nauru,2019,97.16,Per capita GAP
New Caledonia,2019,96.27,Per capita GAP
Niue,2019,99.89,Per capita GAP
Papua New Guinea,2019,93.48,Per capita GAP
Samoa,2019,84.03,Per capita GAP
Solomon Islands,2019,95.67,Per capita GAP
Tokelau,2019,87.28,Per capita GAP
Tonga,2019,90.97,Per capita GAP
Tuvalu,2019,96.83,Per capita GAP
Vanuatu,2019,85.94,Per capita GAP
Cook Islands,2020,83.05,Per capita GAP
Fiji,2020,111.23,Per capita GAP
French Polynesia,2020,100.11,Per capita GAP
Kiribati,2020,87.7,Per capita GAP
Marshall Islands,2020,93.33,Per capita GAP
Micronesia (Federated States of),2020,94.37,Per capita GAP
Nauru,2020,97.11,Per capita GAP
New Caledonia,2020,95.26,Per capita GAP
Niue,2020,99.35,Per capita GAP
Papua New Guinea,2020,92.11,Per capita GAP
Samoa,2020,92.15,Per capita GAP
Solomon Islands,2020,92.05,Per capita GAP
Tokelau,2020,89.5,Per capita GAP
Tonga,2020,89.94,Per capita GAP
Tuvalu,2020,95.85,Per capita GAP
Vanuatu,2020,79.17,Per capita GAP
Fiji,2000,1.52,Poverty population proportion
Papua New Guinea,2000,57.32,Poverty population proportion
Solomon Islands,2000,48.19,Poverty population proportion
Fiji,2001,1.37,Poverty population proportion
Papua New Guinea,2001,57.46,Poverty population proportion
Solomon Islands,2001,53.2,Poverty population proportion
Fiji,2002,1.09,Poverty population proportion
Papua New Guinea,2002,57.3,Poverty population proportion
Solomon Islands,2002,55.9,Poverty population proportion
Fiji,2003,0.8,Poverty population proportion
Papua New Guinea,2003,56.66,Poverty population proportion
Solomon Islands,2003,54.39,Poverty population proportion
Fiji,2004,0.63,Poverty population proportion
Papua New Guinea,2004,55.9,Poverty population proportion
Solomon Islands,2004,52.34,Poverty population proportion
Fiji,2005,0.62,Poverty population proportion
Papua New Guinea,2005,54.17,Poverty population proportion
Solomon Islands,2005,51.09,Poverty population proportion
Fiji,2006,0.56,Poverty population proportion
Papua New Guinea,2006,52.0,Poverty population proportion
Solomon Islands,2006,49.22,Poverty population proportion
Fiji,2007,0.59,Poverty population proportion
Papua New Guinea,2007,49.3,Poverty population proportion
Solomon Islands,2007,46.76,Poverty population proportion
Fiji,2008,0.61,Poverty population proportion
Papua New Guinea,2008,49.73,Poverty population proportion
Solomon Islands,2008,43.55,Poverty population proportion
Fiji,2009,1.1,Poverty population proportion
Papua New Guinea,2009,47.3,Poverty population proportion
Solomon Islands,2009,41.99,Poverty population proportion
Fiji,2010,0.87,Poverty population proportion
Papua New Guinea,2010,44.08,Poverty population proportion
Solomon Islands,2010,36.71,Poverty population proportion
Fiji,2011,0.79,Poverty population proportion
Papua New Guinea,2011,44.3,Poverty population proportion
Solomon Islands,2011,32.35,Poverty population proportion
Fiji,2012,0.42,Poverty population proportion
Papua New Guinea,2012,43.46,Poverty population proportion
Solomon Islands,2012,31.0,Poverty population proportion
Fiji,2013,0.23,Poverty population proportion
Papua New Guinea,2013,42.77,Poverty population proportion
Solomon Islands,2013,28.35,Poverty population proportion
Fiji,2014,0.29,Poverty population proportion
Papua New Guinea,2014,37.85,Poverty population proportion
Solomon Islands,2014,29.02,Poverty population proportion
Fiji,2015,0.41,Poverty population proportion
Papua New Guinea,2015,36.22,Poverty population proportion
Solomon Islands,2015,29.56,Poverty population proportion
Fiji,2016,0.53,Poverty population proportion
Papua New Guinea,2016,34.49,Poverty population proportion
Solomon Islands,2016,28.13,Poverty population proportion
Fiji,2017,0.55,Poverty population proportion
Papua New Guinea,2017,34.08,Poverty population proportion
Solomon Islands,2017,26.45,Poverty population proportion
Fiji,2018,0.55,Poverty population proportion
Papua New Guinea,2018,34.75,Poverty population proportion
Solomon Islands,2018,25.9,Poverty population proportion
Fiji,2019,0.71,Poverty population proportion
Papua New Guinea,2019,33.8,Poverty population proportion
Solomon Islands,2019,26.47,Poverty population proportion
Fiji,2020,2.25,Poverty population proportion
Papua New Guinea,2020,26.13,Poverty population proportion
Solomon Islands,2020,23.05,Poverty population proportion
Fiji,2021,2.27,Poverty population proportion
Papua New Guinea,2021,24.9,Poverty population proportion
Solomon Islands,2021,23.06,Poverty population proportion
Fiji,2022,2.27,Poverty population proportion
Papua New Guinea,2022,24.41,Poverty population proportion
Solomon Islands,2022,23.06,Poverty population proportion
Fiji,2001,4.0,Prevalence of undernourishment
French Polynesia,2001,4.2,Prevalence of undernourishment
Kiribati,2001,4.4,Prevalence of undernourishment
New Caledonia,2001,8.4,Prevalence of undernourishment
Papua New Guinea,2001,26.3,Prevalence of undernourishment
Samoa,2001,3.5,Prevalence of undernourishment
Solomon Islands,2001,13.3,Prevalence of undernourishment
Vanuatu,2001,7.5,Prevalence of undernourishment
Fiji,2002,3.8,Prevalence of undernourishment
French Polynesia,2002,4.1,Prevalence of undernourishment
Kiribati,2002,4.6,Prevalence of undernourishment
New Caledonia,2002,8.7,Prevalence of undernourishment
Papua New Guinea,2002,27.0,Prevalence of undernourishment
Samoa,2002,3.5,Prevalence of undernourishment
Solomon Islands,2002,13.1,Prevalence of undernourishment
Vanuatu,2002,7.4,Prevalence of undernourishment
Fiji,2003,3.9,Prevalence of undernourishment
French Polynesia,2003,3.9,Prevalence of undernourishment
Kiribati,2003,5.0,Prevalence of undernourishment
New Caledonia,2003,9.1,Prevalence of undernourishment
Papua New Guinea,2003,27.7,Prevalence of undernourishment
Samoa,2003,3.4,Prevalence of undernourishment
Solomon Islands,2003,12.6,Prevalence of undernourishment
Vanuatu,2003,7.2,Prevalence of undernourishment
Fiji,2004,3.8,Prevalence of undernourishment
French Polynesia,2004,3.9,Prevalence of undernourishment
